index,证券代码,open,close,high,high_limit,成交额_亿,auction_pct,prev_limit_up,next_open,次日收益率_pct
2026-04-23,605365.XSHG,31.45,31.57,33.01,33.01,9.16,4.798400533155611,1,31.16,-1.2987012987012991
2026-04-23,603629.XSHG,108.0,116.48,119.02,119.02,50.8,-0.1848428835489857,0,111.68,-4.120879120879117
2026-04-23,002297.XSHE,20.54,22.24,22.32,22.32,47.19,1.232134056185319,0,21.57,-3.0125899280575408
2026-04-23,600166.XSHG,3.53,3.74,3.86,3.86,21.46,0.5698005698005604,0,3.76,0.53475935828875
2026-04-23,002313.XSHE,8.56,8.76,9.33,9.33,2.24,0.9433962264151052,0,8.91,1.7123287671232834
2026-04-23,002201.XSHE,15.98,14.8,16.85,16.85,29.75,4.308093994778073,1,14.2,-4.054054054054069
2026-04-23,000539.XSHE,6.42,7.15,7.21,7.21,20.22,-1.984732824427482,0,6.78,-5.174825174825171
2026-04-23,002353.XSHE,127.67,129.79,133.76,133.76,33.8,4.991776315789487,0,129.4,-0.3004853994914791
2026-04-23,600956.XSHG,8.58,9.19,9.31,9.31,5.77,1.4184397163120366,0,9.1,-0.9793253536452662
2026-04-23,603950.XSHG,65.82,63.69,69.68,69.68,8.8,3.898973954222562,0,60.8,-4.53760401946931
2026-04-23,000829.XSHE,11.6,12.14,12.69,12.69,12.97,0.5199306759098743,0,12.14,0.0
2026-04-23,002428.XSHE,76.29,76.88,82.76,82.76,130.01,1.3955342902711498,1,76.07,-1.053590010405825
2026-04-23,002278.XSHE,11.39,12.3,12.6,12.6,5.74,-0.610820244328103,0,12.18,-0.9756097560975729
2026-04-23,002947.XSHE,74.43,78.11,79.77,79.77,21.08,2.6479106330161484,0,77.59,-0.6657278197413907
2026-04-23,600415.XSHG,12.78,13.63,13.79,13.79,44.42,1.9138755980861344,0,13.5,-0.9537784299339713
2026-04-23,002455.XSHE,12.27,11.19,12.27,12.27,25.78,10.044843049327357,0,10.78,-3.6639857015192123
2026-04-23,000026.XSHE,16.92,17.99,19.04,19.04,5.3,-2.196531791907508,0,17.9,-0.5002779321845452
2026-04-23,003018.XSHE,55.0,54.77,57.42,57.42,14.36,5.363984674329503,1,51.27,-6.390359685959468
2026-04-23,600482.XSHG,41.53,42.26,43.35,43.35,39.54,5.3793453438213845,0,43.06,1.8930430667297715
2026-04-23,603285.XSHG,39.8,41.88,43.44,43.44,4.67,0.7850088630032781,0,42.23,0.8357211079274007
2026-04-23,000711.XSHE,4.39,4.34,4.42,4.42,7.46,4.275534441805218,1,4.25,-2.073732718894006
2026-04-23,603212.XSHG,13.53,14.28,14.88,14.88,8.59,0.0,0,14.21,-0.4901960784313597
2026-04-24,603738.XSHG,37.3,39.81,40.7,40.7,37.03,0.8108108108108025,0,40.91,2.76312484300425
2026-04-24,002943.XSHE,43.16,46.85,47.93,47.93,15.13,-0.9410144594904857,0,47.79,2.006403415154745
2026-04-24,300721.XSHE,18.04,21.0,21.23,21.23,10.97,1.9785189372526713,1,19.61,-6.619047619047624
2026-04-24,002712.XSHE,5.29,5.47,5.62,5.62,2.89,3.5225048923678948,0,5.42,-0.9140767824497242
2026-04-24,002650.XSHE,7.08,7.34,7.38,7.38,0.69,0.7112375533428139,0,7.48,1.9073569482289
2026-04-24,002606.XSHE,13.97,14.0,14.63,14.63,20.38,4.958677685950419,1,14.49,3.499999999999992
2026-04-24,002549.XSHE,18.72,19.92,20.62,20.62,22.15,-0.16000000000000458,0,19.91,-0.05020080321286313
2026-04-24,300970.XSHE,34.18,32.29,38.22,38.22,14.71,7.3155416012558705,1,31.84,-1.3936203158872673
2026-04-24,603595.XSHG,17.63,18.58,18.65,18.65,1.35,-0.7319819819819995,0,18.56,-0.10764262648008671
